Date,Location,Total Cases,Deaths,New Cases,New Deaths
2020/02/25,US-UT,1,0,0,0
2020/02/26,US-UT,1,0,0,0
2020/02/27,US-UT,1,0,0,0
2020/02/28,US-UT,1,0,0,0
2020/02/29,US-UT,1,0,0,0
2020/03/01,US-UT,1,0,0,0
2020/03/02,US-UT,1,0,0,0
2020/03/03,US-UT,1,0,0,0
2020/03/04,US-UT,1,0,0,0
2020/03/05,US-UT,1,0,0,0
2020/03/06,US-UT,3,0,2,0
2020/03/07,US-UT,3,0,0,0
2020/03/08,US-UT,3,0,0,0
2020/03/09,US-UT,3,0,0,0
2020/03/10,US-UT,4,0,1,0
2020/03/11,US-UT,5,0,1,0
2020/03/12,US-UT,7,0,2,0
2020/03/13,US-UT,7,0,0,0
2020/03/14,US-UT,21,0,14,0
2020/03/15,US-UT,29,0,8,0
2020/03/16,US-UT,40,0,11,0
2020/03/17,US-UT,51,0,11,0
2020/03/18,US-UT,65,0,14,0
2020/03/19,US-UT,80,0,15,0
2020/03/20,US-UT,112,0,32,0
2020/03/21,US-UT,138,0,26,0
2020/03/22,US-UT,182,1,44,1
2020/03/23,US-UT,257,1,75,0
2020/03/24,US-UT,299,1,42,0
2020/03/25,US-UT,346,1,47,0
2020/03/26,US-UT,402,1,56,0
2020/03/27,US-UT,480,2,78,1
2020/03/28,US-UT,608,2,128,0
2020/03/29,US-UT,719,2,111,0
2020/03/30,US-UT,806,4,87,2
2020/03/31,US-UT,887,5,81,1
2020/04/01,US-UT,1012,7,125,2
2020/04/02,US-UT,1077,7,65,0
2020/04/03,US-UT,1248,7,171,0
2020/04/04,US-UT,1426,8,178,1
2020/04/05,US-UT,1618,8,192,0
2020/04/06,US-UT,1662,13,44,5
2020/04/07,US-UT,1737,13,75,0
2020/04/08,US-UT,1860,13,123,0
2020/04/09,US-UT,1980,13,120,0
2020/04/10,US-UT,2103,17,123,4
2020/04/11,US-UT,2208,18,105,1
2020/04/12,US-UT,2305,18,97,0
2020/04/13,US-UT,2368,18,63,0
2020/04/14,US-UT,2420,19,52,1
2020/04/15,US-UT,2549,20,129,1
2020/04/16,US-UT,2687,21,138,1
2020/04/17,US-UT,2813,23,126,2
2020/04/18,US-UT,2942,25,129,2
2020/04/19,US-UT,3071,27,129,2
2020/04/20,US-UT,3213,28,142,1
2020/04/21,US-UT,3301,32,88,4
2020/04/22,US-UT,3451,34,150,2
2020/04/23,US-UT,3621,35,170,1
2020/04/24,US-UT,3782,39,161,4
2020/04/25,US-UT,3950,41,168,2
2020/04/26,US-UT,4123,41,173,0
2020/04/27,US-UT,4236,41,113,0
2020/04/28,US-UT,4343,45,107,4
2020/04/29,US-UT,4499,45,156,0
2020/04/30,US-UT,4672,46,173,1
2020/05/01,US-UT,4829,46,157,0
2020/05/02,US-UT,4981,49,152,3
2020/05/03,US-UT,5175,50,194,1
2020/05/04,US-UT,5326,50,151,0
2020/05/05,US-UT,5449,56,123,6
2020/05/06,US-UT,5605,59,156,3
2020/05/07,US-UT,5724,61,119,2
2020/05/08,US-UT,5919,61,195,0
2020/05/09,US-UT,6103,66,184,5
2020/05/10,US-UT,6251,67,148,1
2020/05/11,US-UT,6364,68,113,1
2020/05/12,US-UT,6454,73,90,5
2020/05/13,US-UT,6624,76,170,3
2020/05/14,US-UT,6760,76,136,0
2020/05/15,US-UT,6930,77,170,1
2020/05/16,US-UT,7068,78,138,1
2020/05/17,US-UT,7238,80,170,2
2020/05/18,US-UT,7384,80,146,0
2020/05/19,US-UT,7530,88,146,8
2020/05/20,US-UT,7717,90,187,2
2020/05/21,US-UT,7876,92,159,2
2020/05/22,US-UT,8057,93,181,1
2020/05/23,US-UT,8260,97,203,4
2020/05/24,US-UT,8392,97,132,0
2020/05/25,US-UT,8521,98,129,1
2020/05/26,US-UT,8622,101,101,3
2020/05/27,US-UT,8710,105,88,4
2020/05/28,US-UT,8953,106,243,1
2020/05/29,US-UT,9282,107,329,1
2020/05/30,US-UT,9551,112,269,5
2020/05/31,US-UT,9829,113,278,1
2020/06/01,US-UT,10026,113,197,0
2020/06/02,US-UT,10237,113,211,0
2020/06/03,US-UT,10558,117,321,4
2020/06/04,US-UT,10858,117,300,0
2020/06/05,US-UT,11344,120,486,3
2020/06/06,US-UT,11866,121,522,1
2020/06/07,US-UT,12084,121,218,0
2020/06/08,US-UT,12378,124,294,3
2020/06/09,US-UT,12639,127,261,3
2020/06/10,US-UT,12982,128,343,1
2020/06/11,US-UT,13366,131,384,3
2020/06/12,US-UT,13681,139,315,8
2020/06/13,US-UT,14061,139,380,0
2020/06/14,US-UT,14313,139,252,0
2020/06/15,US-UT,14757,143,444,4
2020/06/16,US-UT,15077,145,320,2
2020/06/17,US-UT,15464,149,387,4
2020/06/18,US-UT,16015,152,551,3
2020/06/19,US-UT,16585,155,570,3
2020/06/20,US-UT,17173,155,588,0
2020/06/21,US-UT,17567,158,394,3
2020/06/22,US-UT,18035,158,468,0
2020/06/23,US-UT,18454,163,419,5
2020/06/24,US-UT,18915,163,461,0
2020/06/25,US-UT,19544,164,629,1
2020/06/26,US-UT,20218,166,674,2
2020/06/27,US-UT,20735,167,517,1
2020/06/28,US-UT,21155,167,420,0
2020/06/29,US-UT,21818,168,663,1
2020/06/30,US-UT,22364,172,546,4
2020/07/01,US-UT,22864,173,500,1
2020/07/02,US-UT,23466,176,602,3
2020/07/03,US-UT,24070,181,604,5
2020/07/04,US-UT,24717,181,647,0
2020/07/05,US-UT,25005,184,288,3
2020/07/06,US-UT,25653,190,648,6
2020/07/07,US-UT,26203,194,550,4
2020/07/08,US-UT,26921,201,718,7
2020/07/09,US-UT,27632,205,711,4
2020/07/10,US-UT,28452,207,820,2
2020/07/11,US-UT,29071,212,619,5
2020/07/12,US-UT,29552,215,481,3
2020/07/13,US-UT,30282,216,730,1
2020/07/14,US-UT,30774,226,492,10
2020/07/15,US-UT,31228,233,454,7
2020/07/16,US-UT,31908,234,680,1
2020/07/17,US-UT,32572,238,664,4
2020/07/18,US-UT,33430,243,858,5
2020/07/19,US-UT,34117,243,687,0
2020/07/20,US-UT,34526,249,409,6
2020/07/21,US-UT,35089,255,563,6
2020/07/22,US-UT,35677,262,588,7
2020/07/23,US-UT,36178,271,501,9
2020/07/24,US-UT,37063,277,885,6
2020/07/25,US-UT,37623,278,560,1
2020/07/26,US-UT,37973,278,350,0
2020/07/27,US-UT,38439,285,466,7
2020/07/28,US-UT,38877,290,438,5
2020/07/29,US-UT,39339,297,462,7
2020/07/30,US-UT,39714,303,375,6
2020/07/31,US-UT,40258,308,544,5
2020/08/01,US-UT,40754,312,496,4
2020/08/02,US-UT,41175,313,421,1
2020/08/03,US-UT,41571,317,396,4
2020/08/04,US-UT,42018,324,447,7
2020/08/05,US-UT,42478,330,460,6
2020/08/06,US-UT,43032,332,554,2
2020/08/07,US-UT,43530,337,498,5
2020/08/08,US-UT,43821,336,291,-1
2020/08/09,US-UT,44130,337,309,1
2020/08/10,US-UT,44487,346,357,9
2020/08/11,US-UT,44836,350,349,4
2020/08/12,US-UT,45181,355,345,5
2020/08/13,US-UT,45537,358,356,3
2020/08/14,US-UT,46048,362,511,4
2020/08/15,US-UT,46413,364,365,2
2020/08/16,US-UT,46652,364,239,0
2020/08/17,US-UT,46936,366,284,2
2020/08/18,US-UT,47285,372,349,6
2020/08/19,US-UT,47647,379,362,7
2020/08/20,US-UT,48103,384,456,5
2020/08/21,US-UT,48616,385,513,1
2020/08/22,US-UT,48950,387,334,2
2020/08/23,US-UT,49125,387,175,0
2020/08/24,US-UT,49451,391,326,4
2020/08/25,US-UT,49870,398,419,7
2020/08/26,US-UT,50298,404,428,6
2020/08/27,US-UT,50668,404,370,0
2020/08/28,US-UT,51071,408,403,4
2020/08/29,US-UT,51486,408,415,0
2020/08/30,US-UT,51854,408,368,0
2020/08/31,US-UT,52166,409,312,1
2020/09/01,US-UT,52505,410,339,1
2020/09/02,US-UT,52950,414,445,4
2020/09/03,US-UT,53412,416,462,2
2020/09/04,US-UT,53940,420,528,4
2020/09/05,US-UT,54364,421,424,1
2020/09/06,US-UT,54660,423,296,2
2020/09/07,US-UT,55052,424,392,1
2020/09/08,US-UT,55424,426,372,2
2020/09/09,US-UT,55730,428,306,2
2020/09/10,US-UT,56182,431,452,3
2020/09/11,US-UT,56789,433,607,2
2020/09/12,US-UT,57276,434,487,1
2020/09/13,US-UT,57892,434,616,0
2020/09/14,US-UT,58451,436,559,2
2020/09/15,US-UT,59017,436,566,0
2020/09/16,US-UT,59770,437,753,1
2020/09/17,US-UT,60662,437,892,0
2020/09/18,US-UT,61786,437,1124,0
2020/09/19,US-UT,62893,440,1107,3
2020/09/20,US-UT,63774,440,881,0
2020/09/21,US-UT,64404,441,630,1
2020/09/22,US-UT,65058,443,654,2
2020/09/23,US-UT,65948,444,890,1
2020/09/24,US-UT,67167,444,1219,0
2020/09/25,US-UT,68537,448,1370,4
2020/09/26,US-UT,69556,448,1019,0
2020/09/27,US-UT,70616,453,1060,5
2020/09/28,US-UT,71442,453,826,0
2020/09/29,US-UT,72136,457,694,4
2020/09/30,US-UT,73053,460,917,3
2020/10/01,US-UT,74099,460,1046,0
2020/10/02,US-UT,75175,474,1076,14
2020/10/03,US-UT,76231,476,1056,2
2020/10/04,US-UT,77618,478,1387,2
2020/10/05,US-UT,78733,483,1115,5
2020/10/06,US-UT,79449,489,716,6
2020/10/07,US-UT,80522,499,1073,10
2020/10/08,US-UT,81975,504,1453,5
2020/10/09,US-UT,83307,508,1332,4
2020/10/10,US-UT,84697,512,1390,4
2020/10/11,US-UT,85844,518,1147,6
2020/10/12,US-UT,86879,524,1035,6
2020/10/13,US-UT,87825,524,946,0
2020/10/14,US-UT,89018,529,1193,5
2020/10/15,US-UT,90488,531,1470,2
2020/10/16,US-UT,91966,539,1478,8
2020/10/17,US-UT,93297,541,1331,2
2020/10/18,US-UT,94394,544,1097,3
2020/10/19,US-UT,95572,547,1178,3
2020/10/20,US-UT,96643,552,1071,5
2020/10/21,US-UT,98037,558,1394,6
2020/10/22,US-UT,99563,563,1526,5
2020/10/23,US-UT,101574,567,2011,4
2020/10/24,US-UT,103137,568,1563,1
2020/10/25,US-UT,105053,572,1916,4
2020/10/26,US-UT,106083,575,1030,3
2020/10/27,US-UT,107246,579,1163,4
2020/10/28,US-UT,108863,588,1617,9
2020/10/29,US-UT,110666,598,1803,10
2020/10/30,US-UT,112932,601,2266,3
2020/10/31,US-UT,114670,604,1738,3
2020/11/01,US-UT,116510,614,1840,10
2020/11/02,US-UT,117767,614,1257,0
2020/11/03,US-UT,119375,620,1608,6
2020/11/04,US-UT,121563,625,2188,5
2020/11/05,US-UT,124366,632,2803,7
2020/11/06,US-UT,127294,649,2928,17
2020/11/07,US-UT,130238,658,2944,9
2020/11/08,US-UT,132621,659,2383,1
2020/11/09,US-UT,134868,661,2247,2
2020/11/10,US-UT,137523,672,2655,11
2020/11/11,US-UT,139815,678,2292,6
2020/11/12,US-UT,143639,689,3824,11
2020/11/13,US-UT,146155,703,2516,14
2020/11/14,US-UT,151141,712,4986,9
2020/11/15,US-UT,153808,718,2667,6
2020/11/16,US-UT,155779,725,1971,7
2020/11/17,US-UT,159006,734,3227,9
2020/11/18,US-UT,162091,742,3085,8
2020/11/19,US-UT,166040,758,3949,16
2020/11/20,US-UT,170644,776,4604,18
2020/11/21,US-UT,173987,789,3343,13
2020/11/22,US-UT,177176,793,3189,4
2020/11/23,US-UT,179420,799,2244,6
2020/11/24,US-UT,182121,810,2701,11
2020/11/25,US-UT,183960,834,1839,24
2020/11/26,US-UT,184382,834,422,0
2020/11/27,US-UT,190044,849,5662,15
2020/11/28,US-UT,192087,863,2043,14
2020/11/29,US-UT,193809,868,1722,5
2020/11/30,US-UT,195744,871,1935,3
2020/12/01,US-UT,198260,890,2516,19
2020/12/02,US-UT,202220,906,3960,16
2020/12/03,US-UT,206255,918,4035,12
2020/12/04,US-UT,209258,926,3003,8
2020/12/05,US-UT,212844,939,3586,13
2020/12/06,US-UT,215407,939,2563,0
2020/12/07,US-UT,217638,949,2231,10
2020/12/08,US-UT,219971,972,2333,23
2020/12/09,US-UT,222545,995,2574,23
2020/12/10,US-UT,225946,1016,3401,21
2020/12/11,US-UT,228146,1027,2200,11
2020/12/12,US-UT,231821,1039,3675,12
2020/12/13,US-UT,233904,1055,2083,16
2020/12/14,US-UT,235872,1065,1968,10
2020/12/15,US-UT,237787,1078,1915,13
2020/12/16,US-UT,240715,1102,2928,24
2020/12/17,US-UT,243918,1126,3203,24
2020/12/18,US-UT,246562,1140,2644,14
2020/12/19,US-UT,248970,1148,2408,8
2020/12/20,US-UT,250964,1155,1994,7
2020/12/21,US-UT,252783,1163,1819,8
2020/12/22,US-UT,255085,1175,2302,12
2020/12/23,US-UT,257697,1196,2612,21
2020/12/24,US-UT,260589,1205,2892,9
2020/12/25,US-UT,260589,1205,0,0
2020/12/26,US-UT,264078,1212,3489,7
2020/12/27,US-UT,264874,1214,796,2
2020/12/28,US-UT,266590,1223,1716,9
2020/12/29,US-UT,269326,1238,2736,15
2020/12/30,US-UT,271940,1259,2614,21
2020/12/31,US-UT,276612,1270,4672,11